ISOCountryLC,UNDPCountry,ISOA3,HDIrating
Afghanistan,Afghanistan,AFG,Low Human Development
Åland Islands,,ALA,
Albania,Albania,ALB,High Human Development
Algeria,Algeria,DZA,High Human Development
American Samoa,,ASM,
Andorra,Andorra,AND,Very High Human Development
Angola,Angola,AGO,Low Human Development
Anguilla,,AIA,
Antarctica,,ATA,
Antigua and Barbuda,Antigua and Barbuda,ATG,High Human Development
Argentina,Argentina,ARG,Very High Human Development
Armenia,Armenia,ARM,High Human Development
Aruba,,ABW,
Australia,Australia,AUS,Very High Human Development
Austria,Austria,AUT,Very High Human Development
Azerbaijan,Azerbaijan,AZE,High Human Development
Bahamas,Bahamas,BHS,High Human Development
Bahrain,Bahrain,BHR,High Human Development
Bangladesh,Bangladesh,BGD,Low Human Development
Barbados,Barbados,BRB,Very High Human Development
Belarus,Belarus,BLR,High Human Development
Belgium,Belgium,BEL,Very High Human Development
Belize,Belize,BLZ,Medium Human Development
Benin,Benin,BEN,Low Human Development
Bermuda,,BMU,
Bhutan,Bhutan,BTN,Medium Human Development
"Bolivia, Plurinational State of",Bolivia (Plurinational State of),BOL,Medium Human Development
"Bonaire, Sint Eustatius and Saba",,BES,
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH,High Human Development
Botswana,Botswana,BWA,Medium Human Development
Bouvet Island,,BVT,
Brazil,Brazil,BRA,High Human Development
British Indian Ocean Territory,,IOT,
Brunei Darussalam,Brunei Darussalam,BRN,Very High Human Development
Bulgaria,Bulgaria,BGR,High Human Development
Burkina Faso,Burkina Faso,BFA,Low Human Development
Burundi,Burundi,BDI,Low Human Development
Cambodia,Cambodia,KHM,Medium Human Development
Cameroon,Cameroon,CMR,Low Human Development
Canada,Canada,CAN,Very High Human Development
Cape Verde,Cape Verde,CPV,Medium Human Development
Cayman Islands,,CYM,
Central African Republic,Central African Republic,CAF,Low Human Development
Chad,Chad,TCD,Low Human Development
Chile,Chile,CHL,Very High Human Development
China,China,CHN,Medium Human Development
Christmas Island,,CXR,
Cocos (Keeling) Islands,,CCK,
Colombia,Colombia,COL,High Human Development
Comoros,Comoros,COM,Low Human Development
Congo,Congo,COG,Low Human Development
"Congo, the Democratic Republic of the",Congo (Democratic Republic of the),COD,Low Human Development
Cook Islands,,COK,
Costa Rica,Costa Rica,CRI,High Human Development
Côte d'Ivoire,Côte d'Ivoire,CIV,Low Human Development
Croatia,Croatia,HRV,Very High Human Development
Cuba,Cuba,CUB,High Human Development
Curaçao,,CUW,
Cyprus,Cyprus,CYP,Very High Human Development
Czech Republic,Czech Republic,CZE,Very High Human Development
Denmark,Denmark,DNK,Very High Human Development
Djibouti,Djibouti,DJI,Low Human Development
Dominica,Dominica,DMA,High Human Development
Dominican Republic,Dominican Republic,DOM,Medium Human Development
Ecuador,Ecuador,ECU,High Human Development
Egypt,Egypt,EGY,Medium Human Development
El Salvador,El Salvador,SLV,Medium Human Development
Equatorial Guinea,Equatorial Guinea,GNQ,Medium Human Development
Eritrea,Eritrea,ERI,Low Human Development
Estonia,Estonia,EST,Very High Human Development
Ethiopia,Ethiopia,ETH,Low Human Development
Falkland Islands (Malvinas),,FLK,
Faroe Islands,,FRO,
Fiji,Fiji,FJI,Medium Human Development
Finland,Finland,FIN,Very High Human Development
France,France,FRA,Very High Human Development
French Guiana,,GUF,
French Polynesia,,PYF,
French Southern Territories,,ATF,
Gabon,Gabon,GAB,Medium Human Development
Gambia,Gambia,GMB,Low Human Development
Georgia,Georgia,GEO,High Human Development
Germany,Germany,DEU,Very High Human Development
Ghana,Ghana,GHA,Medium Human Development
Gibraltar,,GIB,
Greece,Greece,GRC,Very High Human Development
Greenland,,GRL,
Grenada,Grenada,GRD,High Human Development
Guadeloupe,,GLP,
Guam,,GUM,
Guatemala,Guatemala,GTM,Medium Human Development
Guernsey,,GGY,
Guinea,Guinea,GIN,Low Human Development
Guinea-Bissau,Guinea-Bissau,GNB,Low Human Development
Guyana,Guyana,GUY,Medium Human Development
Haiti,Haiti,HTI,Low Human Development
Heard Island and McDonald Islands,,HMD,
Holy See (Vatican City State),,VAT,
Honduras,Honduras,HND,Medium Human Development
Hong Kong,"Hong Kong, China (SAR)",HKG,Very High Human Development
Hungary,Hungary,HUN,Very High Human Development
Iceland,Iceland,ISL,Very High Human Development
India,India,IND,Medium Human Development
Indonesia,Indonesia,IDN,Medium Human Development
"Iran, Islamic Republic of",Iran (Islamic Republic of),IRN,High Human Development
Iraq,Iraq,IRQ,Medium Human Development
Ireland,Ireland,IRL,Very High Human Development
Isle of Man,,IMN,
Israel,Israel,ISR,Very High Human Development
Italy,Italy,ITA,Very High Human Development
Jamaica,Jamaica,JAM,High Human Development
Japan,Japan,JPN,Very High Human Development
Jersey,,JEY,
Jordan,Jordan,JOR,Medium Human Development
Kazakhstan,Kazakhstan,KAZ,High Human Development
Kenya,Kenya,KEN,Low Human Development
Kiribati,Kiribati,KIR,Medium Human Development
"Korea, Democratic People's Republic of",Korea (Democratic People's Rep. of),PRK,Unrated
"Korea, Republic of",Korea (Republic of),KOR,Very High Human Development
Kuwait,Kuwait,KWT,High Human Development
Kyrgyzstan,Kyrgyzstan,KGZ,Medium Human Development
Lao People's Democratic Republic,Lao People's Democratic Republic,LAO,Medium Human Development
Latvia,Latvia,LVA,Very High Human Development
Lebanon,Lebanon,LBN,High Human Development
Lesotho,Lesotho,LSO,Low Human Development
Liberia,Liberia,LBR,Low Human Development
Libya,Libya,LBY,High Human Development
Liechtenstein,Liechtenstein,LIE,Very High Human Development
Lithuania,Lithuania,LTU,Very High Human Development
Luxembourg,Luxembourg,LUX,Very High Human Development
Macao,,MAC,
"Macedonia, The Former Yugoslav Republic of",The former Yugoslav Republic of Macedonia,MKD,High Human Development
Madagascar,Madagascar,MDG,Low Human Development
Malawi,Malawi,MWI,Low Human Development
Malaysia,Malaysia,MYS,High Human Development
Maldives,Maldives,MDV,Medium Human Development
Mali,Mali,MLI,Low Human Development
Malta,Malta,MLT,Very High Human Development
Marshall Islands,Marshall Islands,MHL,Unrated
Martinique,,MTQ,
Mauritania,Mauritania,MRT,Low Human Development
Mauritius,Mauritius,MUS,High Human Development
Mayotte,,MYT,
Mexico,Mexico,MEX,High Human Development
"Micronesia, Federated States of",Micronesia (Federated States of),FSM,Medium Human Development
"Moldova, Republic of",Moldova (Republic of),MDA,Medium Human Development
Monaco,Monaco,MCO,Unrated
Mongolia,Mongolia,MNG,Medium Human Development
Montenegro,Montenegro,MNE,High Human Development
Montserrat,,MSR,
Morocco,Morocco,MAR,Medium Human Development
Mozambique,Mozambique,MOZ,Low Human Development
Myanmar,Myanmar,MMR,Low Human Development
Namibia,Namibia,NAM,Medium Human Development
Nauru,Nauru,NRU,Unrated
Nepal,Nepal,NPL,Low Human Development
Netherlands,Netherlands,NLD,Very High Human Development
New Caledonia,,NCL,
New Zealand,New Zealand,NZL,Very High Human Development
Nicaragua,Nicaragua,NIC,Medium Human Development
Niger,Niger,NER,Low Human Development
Nigeria,Nigeria,NGA,Low Human Development
Niue,,NIU,
Norfolk Island,,NFK,
Northern Mariana Islands,,MNP,
Norway,Norway,NOR,Very High Human Development
Oman,Oman,OMN,High Human Development
Pakistan,Pakistan,PAK,Low Human Development
Palau,Palau,PLW,High Human Development
"Palestine, State of",Occupied Palestinian Territory,PSE,Medium Human Development
Panama,Panama,PAN,High Human Development
Papua New Guinea,Papua New Guinea,PNG,Low Human Development
Paraguay,Paraguay,PRY,Medium Human Development
Peru,Peru,PER,High Human Development
Philippines,Philippines,PHL,Medium Human Development
Pitcairn,,PCN,
Poland,Poland,POL,Very High Human Development
Portugal,Portugal,PRT,Very High Human Development
Puerto Rico,,PRI,
Qatar,Qatar,QAT,Very High Human Development
Réunion,,REU,
Romania,Romania,ROU,High Human Development
Russian Federation,Russian Federation,RUS,High Human Development
Rwanda,Rwanda,RWA,Low Human Development
Saint Barthélemy,,BLM,
"Saint Helena, Ascension and Tristan da Cunha",,SHN,
Saint Kitts and Nevis,Saint Kitts and Nevis,KNA,High Human Development
Saint Lucia,Saint Lucia,LCA,High Human Development
Saint Martin (French part),,MAF,
Saint Pierre and Miquelon,,SPM,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT,High Human Development
Samoa,Samoa,WSM,Medium Human Development
San Marino,San Marino,SMR,Unrated
Sao Tome and Principe,Sao Tome and Principe,STP,Low Human Development
Saudi Arabia,Saudi Arabia,SAU,High Human Development
Senegal,Senegal,SEN,Low Human Development
Serbia,Serbia,SRB,High Human Development
Seychelles,Seychelles,SYC,Very High Human Development
Sierra Leone,Sierra Leone,SLE,Low Human Development
Singapore,Singapore,SGP,Very High Human Development
Sint Maarten (Dutch part),,SXM,
Slovakia,Slovakia,SVK,Very High Human Development
Slovenia,Slovenia,SVN,Very High Human Development
Solomon Islands,Solomon Islands,SLB,Low Human Development
Somalia,Somalia,SOM,Unrated
South Africa,South Africa,ZAF,Medium Human Development
South Georgia and the South Sandwich Islands,,SGS,
South Sudan,South Sudan,SSD,Unrated
Spain,Spain,ESP,Very High Human Development
Sri Lanka,Sri Lanka,LKA,High Human Development
Sudan,Sudan,SDN,Low Human Development
Suriname,Suriname,SUR,Medium Human Development
Svalbard and Jan Mayen,,SJM,
Swaziland,Swaziland,SWZ,Medium Human Development
Sweden,Sweden,SWE,Very High Human Development
Switzerland,Switzerland,CHE,Very High Human Development
Syrian Arab Republic,Syrian Arab Republic,SYR,Medium Human Development
"Taiwan, Province of China",,TWN,
Tajikistan,Tajikistan,TJK,Medium Human Development
"Tanzania, United Republic of",Tanzania (United Republic of),TZA,Low Human Development
Thailand,Thailand,THA,Medium Human Development
Timor-Leste,Timor-Leste,TLS,Medium Human Development
Togo,Togo,TGO,Low Human Development
Tokelau,,TKL,
Tonga,Tonga,TON,Medium Human Development
Trinidad and Tobago,Trinidad and Tobago,TTO,High Human Development
Tunisia,Tunisia,TUN,High Human Development
Turkey,Turkey,TUR,High Human Development
Turkmenistan,Turkmenistan,TKM,Medium Human Development
Turks and Caicos Islands,,TCA,
Tuvalu,Tuvalu,TUV,Unrated
Uganda,Uganda,UGA,Low Human Development
Ukraine,Ukraine,UKR,High Human Development
United Arab Emirates,United Arab Emirates,ARE,Very High Human Development
United Kingdom,United Kingdom,GBR,Very High Human Development
United States,United States,USA,Very High Human Development
United States Minor Outlying Islands,,UMI,
Uruguay,Uruguay,URY,High Human Development
Uzbekistan,Uzbekistan,UZB,Medium Human Development
Vanuatu,Vanuatu,VUT,Medium Human Development
"Venezuela, Bolivarian Republic of",Venezuela (Bolivarian Republic of),VEN,High Human Development
Viet Nam,Viet Nam,VNM,Medium Human Development
"Virgin Islands, British",,VGB,
"Virgin Islands, U.S.",,VIR,
Wallis and Futuna,,WLF,
Western Sahara,,ESH,
Yemen,Yemen,YEM,Low Human Development
Zambia,Zambia,ZMB,Low Human Development
Zimbabwe,Zimbabwe,ZWE,Low Human Development